playerId,playerFullName,total_PA,total_AB,total_H,total_HR,total_BB,total_K,total_HBP,total_SF,total_TB,total_RBI,games_played,PA,AB,H,HR,BB,K,HBP,SF,TB,RBI,AVG,OBP,SLG,OPS
457759,Justin Turner,626,558,154,23,51,110,11,6,254,96,162,3.864,3.444,0.951,0.142,0.315,0.679,0.068,0.037,1.568,0.593,0.276,0.345,0.455,0.8
467793,Carlos Santana,619,550,132,23,65,104,0,4,236,86,160,3.869,3.438,0.825,0.144,0.406,0.65,0.0,0.025,1.475,0.538,0.24,0.318,0.429,0.747
502671,Paul Goldschmidt,687,593,159,25,87,161,3,3,265,80,162,4.241,3.66,0.981,0.154,0.537,0.994,0.019,0.019,1.636,0.494,0.268,0.363,0.447,0.81
518692,Freddie Freeman,730,637,211,29,72,121,16,5,361,102,162,4.506,3.932,1.302,0.179,0.444,0.747,0.099,0.031,2.228,0.63,0.331,0.41,0.567,0.976
518934,DJ LeMahieu,562,497,121,15,60,125,3,2,194,44,162,3.469,3.068,0.747,0.093,0.37,0.772,0.019,0.012,1.198,0.272,0.243,0.327,0.39,0.718
521692,Salvador Perez,580,538,137,23,19,135,13,8,227,80,156,3.718,3.449,0.878,0.147,0.122,0.865,0.083,0.051,1.455,0.513,0.255,0.292,0.422,0.714
542303,Marcell Ozuna,592,530,145,40,57,134,3,2,296,100,162,3.654,3.272,0.895,0.247,0.352,0.827,0.019,0.012,1.827,0.617,0.274,0.346,0.558,0.905
543760,Marcus Semien,753,670,185,29,72,110,5,5,320,100,162,4.648,4.136,1.142,0.179,0.444,0.679,0.031,0.031,1.975,0.617,0.276,0.348,0.478,0.826
543807,George Springer,683,613,158,21,60,125,5,3,248,72,160,4.269,3.831,0.988,0.131,0.375,0.781,0.031,0.019,1.55,0.45,0.258,0.327,0.405,0.732
547180,Bryce Harper,546,457,134,21,80,119,5,4,228,72,132,4.136,3.462,1.015,0.159,0.606,0.902,0.038,0.03,1.727,0.545,0.293,0.401,0.499,0.9
547989,José Abreu,594,540,128,18,42,130,6,6,207,90,150,3.96,3.6,0.853,0.12,0.28,0.867,0.04,0.04,1.38,0.6,0.237,0.296,0.383,0.68
553869,Elias Díaz,526,486,130,14,34,118,2,4,199,72,162,3.247,3.0,0.802,0.086,0.21,0.728,0.012,0.025,1.228,0.444,0.267,0.316,0.409,0.725
553993,Eugenio Suárez,694,598,139,22,70,214,15,11,234,96,162,4.284,3.691,0.858,0.136,0.432,1.321,0.093,0.068,1.444,0.593,0.232,0.323,0.391,0.714
571448,Nolan Arenado,612,560,149,26,41,101,3,8,257,93,153,4.0,3.66,0.974,0.17,0.268,0.66,0.02,0.052,1.68,0.608,0.266,0.315,0.459,0.774
571771,Enrique Hernández,508,465,110,11,34,97,3,6,166,61,162,3.136,2.87,0.679,0.068,0.21,0.599,0.019,0.037,1.025,0.377,0.237,0.289,0.357,0.646
571970,Max Muncy,579,482,102,36,85,153,6,6,229,105,148,3.912,3.257,0.689,0.243,0.574,1.034,0.041,0.041,1.547,0.709,0.212,0.333,0.475,0.808
572233,Christian Walker,661,582,150,33,62,127,8,8,289,103,162,4.08,3.593,0.926,0.204,0.383,0.784,0.049,0.049,1.784,0.636,0.258,0.333,0.497,0.83
592192,Mark Canha,507,435,114,11,49,79,17,6,174,62,160,3.169,2.719,0.712,0.069,0.306,0.494,0.106,0.038,1.088,0.388,0.262,0.355,0.4,0.755
592206,Nick Castellanos,671,626,170,29,36,185,3,6,298,106,162,4.142,3.864,1.049,0.179,0.222,1.142,0.019,0.037,1.84,0.654,0.272,0.311,0.476,0.788
592273,Brandon Drury,523,485,127,26,25,136,8,5,241,83,134,3.903,3.619,0.948,0.194,0.187,1.015,0.06,0.037,1.799,0.619,0.262,0.306,0.497,0.803
592518,Manny Machado,601,543,140,30,50,109,2,6,251,91,148,4.061,3.669,0.946,0.203,0.338,0.736,0.014,0.041,1.696,0.615,0.258,0.319,0.462,0.782
592663,J.T. Realmuto,540,489,123,20,35,138,9,5,221,63,162,3.333,3.019,0.759,0.123,0.216,0.852,0.056,0.031,1.364,0.389,0.252,0.31,0.452,0.762
592669,Hunter Renfroe,548,498,116,20,44,125,3,3,207,60,147,3.728,3.388,0.789,0.136,0.299,0.85,0.02,0.02,1.408,0.408,0.233,0.297,0.416,0.713
592696,Eddie Rosario,516,478,122,21,34,122,1,2,215,74,162,3.185,2.951,0.753,0.13,0.21,0.753,0.006,0.012,1.327,0.457,0.255,0.305,0.45,0.755
592885,Christian Yelich,632,550,153,19,78,140,3,1,246,76,162,3.901,3.395,0.944,0.117,0.481,0.864,0.019,0.006,1.519,0.469,0.278,0.37,0.447,0.818
